,,,,,,,,
"
",,,,,,,,
Select filter criteria below:,,,,,,,,
Start Date:,03/01/2014 ,Start Time:,12:00 AM ,Building:,All ,,,
 End Date:,03/31/2014 ,End Time:,11:59 PM,Room:,All,,,
,,,,,,,,
,,,,,,,,
Name,Building,Room,Days met,Start Date,End Date,Start Time,End Time,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:00 PM ,
Teaching Mathematics and Science  ,ATT ,608,M ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:30 PM ,
Teaching Social Studies in Secondary Cla  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,05:30 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Guided Practice  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Human Differences  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:00 PM ,
Human Differences  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:00 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Instruction for Teaching English as a Ne  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Integrating Literacy in Secondary Conten  ,ONLINE ,ONLINE ,T ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:00 PM ,
Teaching English Language Arts in Second  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:30 PM ,
Teaching Science in Secondary Classrooms  ,ONLINE ,ONLINE ,F ,12/09/2013 ,03/02/2014 ,06:00 PM ,09:00 PM ,
Visual and Performing Arts in Elementary  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:00 PM ,
Visual and Performing Arts in Elementary  ,ONLINE ,ONLINE ,W ,12/09/2013 ,03/02/2014 ,06:00 PM ,08:00 PM ,
Guided Practice  ,ONLINE ,ONLINE ,R ,12/09/2013 ,03/02/2014 ,06:30 PM ,09:00 PM ,
Management of Operations  ,JKP ,JKP ,FS ,12/13/2013 ,05/24/2014 ,08:50 AM ,04:30 PM ,
Management of Operations  ,SAN DIEGO ,SAN DIEGO ,FS ,01/03/2014 ,05/31/2014 ,08:50 AM ,04:30 PM ,
Application of Theories of Learning to C  ,ONLINE ,ONLINE ,W ,01/06/2014 ,03/30/2014 ,05:30 AM ,07:00 AM ,
Foundations of Learning for the TESOL Cl  ,ONLINE ,ONLINE ,R ,01/06/2014 ,03/30/2014 ,05:30 AM ,08:00 AM ,
Teaching from a Comparative and Internat  ,ONLINE ,ONLINE ,M ,01/06/2014 ,03/30/2014 ,05:30 AM ,07:30 AM ,
Framing the Social Context of High Needs  ,ONLINE ,ONLINE ,T ,01/06/2014 ,03/30/2014 ,06:00 AM ,09:00 AM ,
